,Date,Piligrims,Tonsures,Hundi,Speciality,Temperature,Condition,ttd online darshan tickets: (Worldwide),Tirupati: (Worldwide),Tirumala: (Worldwide),VIP darshan: (Worldwide),How to reach Tirupati: (Worldwide),ttd sarva darshan tickets: (Worldwide),ttd free darshan online booking availability: (Worldwide),apsrtc tirumala darshan tickets: (Worldwide),apsrtc ttd 300 tickets: (Worldwide),ksrtc tirupati package: (Worldwide),srinivasam complex: (Worldwide),tirumala darshan tickets: (Worldwide),tirumala darshan: (Worldwide),tirupati balaji.ap.gov.in: (Worldwide),tirupati darshan 500 rupees ticket: (Worldwide),ttd free darshan online booking availability: (Worldwide)
187,2022-07-07,75407,37447,4.09,0,91,2229,4,59,34,26,43,0,0,19,0,0,0,17,18,0,0,0
188,2022-08-07,73016,38267,6.18,5,86,1521,7,61,28,0,0,16,12,0,0,20,19,30,19,15,0,12
189,2022-09-07,87478,34490,4.35,3,88,740,9,59,29,24,0,0,28,0,0,31,0,21,22,0,51,28
190,2022-10-07,89013,38629,4.73,0,81,2339,6,61,37,27,71,0,0,16,0,46,17,8,19,16,0,0
191,2022-11-07,62141,35535,4.56,0,82,1521,19,65,40,28,0,0,14,0,61,0,0,20,27,29,0,14
192,2022-12-07,74212,37068,4.09,6,84,1521,7,68,43,0,0,14,0,0,0,30,0,11,23,22,23,0
193,13/07/2022,71289,48692,4.53,5,84,1521,4,72,46,18,76,0,11,0,0,24,30,0,30,11,0,11
194,14/07/2022,74304,37698,4.39,0,84,1521,0,69,34,18,30,16,8,0,30,73,0,8,17,0,31,8
195,15/07/2022,72195,33880,5.58,6,86,1521,0,62,32,30,100,0,23,0,0,0,18,11,22,11,0,23
196,16/07/2022,84885,25920,5.05,6,86,1291,8,58,33,25,27,23,0,0,0,18,17,24,25,0,0,0
197,17/07/2022,73387,33210,3.71,5,88,1291,4,59,28,12,42,0,0,0,0,0,0,12,8,0,0,0
198,18/07/2022,77273,31880,5.45,0,90,1324,5,54,30,35,0,14,0,0,0,0,32,23,18,10,0,0
199,19/07/2022,74503,35967,4.24,5,91,962,0,59,34,37,0,0,0,0,21,0,0,0,11,7,31,0
200,20/07/2022,76821,41211,4.35,0,90,1275,0,67,30,17,43,0,16,70,0,0,15,10,15,0,0,16
201,21/07/2022,71437,33965,4.68,5,90,1291,4,60,32,17,33,0,0,0,0,22,39,18,20,0,0,0
202,22/07/2022,71395,35893,4.5,0,88,1275,0,60,29,9,0,0,6,0,0,0,0,9,15,9,0,6
203,23/07/2022,78479,30884,4.42,0,88,1291,5,60,29,26,21,0,0,0,0,0,0,18,19,0,0,0
204,24/07/2022,80815,34732,4.78,0,90,1275,0,57,29,23,0,0,16,0,30,0,0,10,18,30,46,16
205,25/07/2022,72873,31315,4.43,0,90,862,9,62,30,22,20,0,8,18,0,32,28,13,23,0,0,8
206,26/07/2022,68982,32533,4.83,0,88,1291,0,64,27,37,55,0,0,43,0,0,0,10,14,0,0,0
207,27/07/2022,73375,37521,3.76,5,90,972,4,70,34,24,27,29,10,0,0,0,0,18,22,13,0,10
208,28/07/2022,67364,31562,4.82,1,88,1878,4,63,27,50,0,0,18,0,34,28,0,24,11,0,29,18
209,29/07/2022,58747,32641,5.12,0,82,1275,0,64,25,51,0,0,11,0,0,0,15,12,16,0,0,11
210,30/07/2022,77541,29092,4.6,6,86,2229,8,60,32,39,0,0,0,78,0,0,0,34,20,8,73,0
211,31/07/2022,81287,31117,4.71,3,86,862,8,59,29,11,18,0,13,0,0,21,24,17,18,11,21,13
212,2022-01-08,71450,25058,4.21,4,88,962,6,60,26,49,57,0,0,0,0,100,41,24,12,0,21,0
213,2022-02-08,72067,28496,3.79,0,90,1324,13,60,30,36,44,0,0,0,0,0,0,0,13,7,0,0
214,2022-03-08,69628,39533,3.87,0,91,972,0,62,33,0,43,17,0,0,50,0,0,0,14,10,0,0
215,2022-04-08,62351,34436,3.83,0,91,1291,6,60,36,27,0,21,0,0,24,29,0,19,16,0,0,0
216,2022-05-08,65939,31320,5,0,91,1291,6,63,34,22,48,0,0,0,0,0,0,28,20,0,0,0
217,2022-06-08,79525,27581,4.3,5,84,1275,0,64,38,24,0,0,13,0,0,0,0,17,21,7,0,13
