,Date,Piligrims,Tonsures,Hundi,Special Day,Temperature,Condition,Tweets
54,24/02/2022,"53,740","26,977",Rs.3.21 Cr,"Sri G.T Adhyayanotsavam Ends, Srinivasa Mangapuram Sri KVS Garuda Seva",+86°,Few clouds,"['\nVIP Recommendations ?????? ????? ???????? ???????? ??????????? ?????? ?????? ????????????? ???? ?????? ???????????? - ?????? ?????\n????? ??? ???? ?????? ?????? ????? 50 ????? 150 ???? VIP ? ??????? ?????? ??????????? ??????? ???????????????,?????? ???????? ?????']"
55,25/02/2022,"56,559","28,751",Rs.5.41 Cr,normal,+86°,Clear sky,[]
56,26/02/2022,"65,704","33,187",Rs.3.67 Cr,normal,+86°,Clear sky,"['\nTTD ??????? ?? ???? ?????? ??????? ?????, ????? ??????\n??? ????? ???????? ????...']"
57,27/02/2022,"68,095","29,050",Rs.3.94 Cr,"Ekadasi, Srinivasa Mangapuram, Sri KVS Rathotsavam",+88°,Clear sky,['\n?????????? ?????????!\n???????? ???????? \n\n??????? ???? ????????? ???????? \n‘?????????’ ???????? ??????? ????? ?????????\u200c??\n ???\n\n ??.38 ??????????? 90.65 ????? ?????? ???????? ???? ???????? ?????? ????????????????? ?????? ???????? ']
58,28/02/2022,"55,532","25,114",Rs.4.33 Cr,"Sravanam, Srinivasa Mangapuram Sri KVS Brahmotsavam Ends",+88°,Clear sky,[]
59,01/03/2022,"53,163","20,651",Rs.4.51 Cr,normal,+88°,Few clouds,['\n???????? ???\u200c???\u200c?? ?????? ?\u200c???\u200c']
60,02/03/2022,"46,172","19,395",Rs.3.33 Cr,normal,+88°,Partly cloudy,['\n???????? ???\u200c???\u200c?? ?????? ?\u200c???\u200c..!!']
61,03/03/2022,"50,511","22,089",Rs.3.63 Cr,Tirupati Sri KT Brahmotsavam Ends,+84°,Broken clouds,"['\n??????: ?????????? ???????? ??????? ?????? ?????, ???????? ????? ?????. ?????????? ???????????? ????????????? 10 ????? 96 ??? ???? ???????. ????? ????? ??.79.31 ??????. ???????? ?????????? ??????? 5 ????? 25 ????.', '\n??????:????? ?????????? ????????????? 46,172 ???? ???????. ???????? ?????????? 10,395 ???? ???????. ????? ????? ??.3.33 ??????.']"
62,04/03/2022,"56,686","27,997",Rs.2.93 Cr,"Matsya Jayanti, Tirupati Sri Kodanda Rama Swamy Temple Garuda Seva",+86°,Broken clouds,['\nI see this WR group has speed in it! DB’s don’t be up in press and not get disruption with your feet and hands bc you will get exposed. Understand technique slows the speed down! ']
63,05/03/2022,"67,750","30,192",Rs.3.13 Cr,"Rohini, Parasurama Jayanthi, Akshaya Tritheeya",+86°,Clear sky,['']
64,06/03/2022,"61,052","27,500",Rs.4.57 Cr,Punarvasu,+84°,Broken clouds,"['\n?????? ????????? , ?????????  ?? TTD ????????? ?????? ??????????? ??????????? . TTD ??????? ????.???????????? ????  ??????? ????????????? ????? ?? ???????? ?????? ????? ????? ?????? ??????? ??????????. ', '\n?????? ??????? ????????? ?????????,??????????? ????????????? ???? ??????? ????? ??? ???? ????????...\n@yvsubbareddymp\n ']"
65,07/03/2022,"57,904","26,877",Rs.4.06 Cr,Srinivasa Mangapuram Sri KVS Sakshatkara Vaibhavotsavam Begins,+86°,Broken clouds,[]
66,08/03/2022,"58,561","25,401",Rs.4.01 Cr,Kalki Jayanthi,+90°,Clear sky,['\nAre you a Software Tester? \n\nAdria has a great opportunity for you in ']
67,09/03/2022,"59,086","28,701",Rs.3.81 Cr,normal,+90°,Clear sky,['\n??????: ???????? ??????? ?????? ???????????? ???????? ?????????? ????????? ????????? ????????.']
68,10/03/2022,"61,620","28,988",Rs.4.36 Cr,Durgastami,+90°,Partly cloudy,[]
69,11/03/2022,"65,192","32,592",Rs.4.41 Cr,"Narayanavanam Sri KVS Float Begins, Yajnavalkya Jayanthi",+90°,Clear sky,[]
70,12/03/2022,DEF,XYZ,ABC,normal,+91°,Few clouds,"['\n?????? ?????? ??????????  65,192 ???? ??????? ????????????????. ???????? ?????????? 32,592 ???? ???????. ????? ????? ??.4.41 ??????']"
71,13/03/2022,"74,167","33,976",Rs.4.50 Cr,"Tirumala Sri TT Float Begins, Punarvasu",+91°,Broken clouds,['\n?????? : ???? ????? ??? ?????? ???? ???????? ??????? ?????????????. ???? ?????????? ???????? ???? ??????????????? ???????? ???????????? ??????????.']
72,14/03/2022,"61,982","27,400",Rs.3.88 Cr,Ekadasi,+93°,Clear sky,"['\nThe program for \n@SSTIC\n 2022 is out, and we are super proud to give no less than 4 talks! We hope to see you all in Rennes in June ;) ']"
73,15/03/2022,DEF,XYZ,ABC,normal,+93°,Broken clouds,['']
74,16/03/2022,"64,368","31,179",Rs.4.52 Cr,normal,+93°,Broken clouds,[]
75,17/03/2022,"66,577","31,471",Rs.3.97 Cr,"Tirumala Sri TT Float Ends, Holi",+95°,Broken clouds,"['\n????????? ???????? ????? ?????? ?????????? ???? ???????????????? ???? ????????????????? ??????????. ?????? ????????? 145 ?????? ??????.. ??????? ????????????.. ??.30 ???????  ? ????  ???????????????', '\n??????: 21? ????? ??? ???? ?? ??. 300 ???????? ?????? ?????? ?????????? ?????? ?????????? ??????. ?????? 25 ??? ??????? ?????????? ?????? ?????????? ??????. ???????,??,???? ?????? ?????????? ??????????? ??????? ?????? ???? ?????? ??????.']"
76,18/03/2022,"66,763","33,133",Rs.4.29 Cr,"Thumburu Teertha Mukkoti, Purnima, Lakshmi Jayanthi",+97°,Clear sky,"['\n??????: ? ??? 20? ???\u200c????\u200c?? ???????? ?????? ???? ????????, ????? ??????? ??????????? ???????? ?????????????? ?????? ?????, ???????\u200c 1 ????? ???????? ?????? ?????? ???????? ??????-??????', '\n??????: ????? ?????????? ????????????? 66,577 ???? ???????, ???????? ?????????? 31,471 ???? ???????, ????? ????? ??. 3.97 ??????']"
77,19/03/2022,"72,265","34,517",Rs.4.59 Cr,normal,+97°,Few clouds,"['\n??????: ???????? ???\u200c????\u200c?? ???????? ?????? ?????? ???????? ??????, ?????? ?????????? ???????????????? ??? ?????? ??????? ??????? ????? ???????? ?????? ???????? ?????????.. 92 ??????? ????????? 25 ????? ????? ???????? ?????? ???????? ??????']"
78,20/03/2022,"70,408","34,932",Rs.4.63 Cr,normal,+88°,Heavy rain in places,['\n?????? : ???????? ?????? ???? ????????? ?????? ????? ??????. ??????\u200c?? ???????? ?????? ????\u200c ???? ????????. ????? ????\u200c ?????????????\u200c?? ?????\u200c ???? ????\u200c. ????? ??????? ???????? ???????.']
79,21/03/2022,DEF,XYZ,ABC,normal,+91°,Partly cloudy,[]
80,22/03/2022,"69,711","30,871",Rs.4.41 Cr,normal,+93°,Broken clouds,"['\n?? ?????????? ?????? ?????? ???????? ??????\n?????? ??? ???????? ???????????????\n?????? ? ???????? ????????????? ???? ????? ????? ????????\n????? ????? ????? ?????????? ?????? ????????????? ???????? ??? ?????\n??? ????? ?????????? ??????,?????????? ??????? ????? ???? ????????', '\n??????: ??????? 1? ???? ????? ???????? ?????????????? ????????????? ??????. ?????? 31? ???? ????? ???????? ?????????????? ??????. ?????? ??????? ??????????? ???????????? ??????????? ??????. ', '\n??? ???? ???? ?????? ?? Vip ?????? ?????? ???? ?????? ????????? ??????? ???o ????? ????????? ?????????? ..?????? ?????? ?????? ???? ??????? ?????? ????? ????? ???? ????????.', '\n?????? ???????? 29 ???? ??????? ????????????. ???? ???? ????????? ???????? ???? ??? 52 ?????? ???????? ?????????? ?????? ???? ????????? ???????????. ??? ???????? ???????? ?????? ?????, ???? ????? ?????????????? ???????????????? ?????? ???? ?????????? ????????? ??????????????.\nShow this thread\n1\n5\n22\nNarayan Viswam\n@nviswam\n·', '\n@BJP4India\n  MP Dr. Subramanian \n@Swamy39\n  says propaganda about Christianity brought to Tirumala totally false']"
81,23/03/2022,"64,986","33,200",Rs.4.28 Cr,normal,+97°,Broken clouds,['\n?????? 1-?? ???? ????? ?????????????? ???????????????? ?????????!']
82,24/03/2022,"63,042","31,218",Rs.4.18 Cr,"Nagulapuram Sri VNS Surya Puja, Float Begins",+95°,Broken clouds,[]
83,25/03/2022,"65,418","33,451",Rs.4.40 Cr,normal,+95°,Few clouds,"['\n?????? ?????? ??????????  63,042 ???? ??????? ????????????????. ???????? ?????????? 31,218 ???? ???????, ????? ????? ??.4.18 ??????\n ']"
84,26/03/2022,"69,897","38,099",Rs.3.92 Cr,normal,+97°,Few clouds,[]
85,27/03/2022,"71,167","34,688",Rs.4.46 Cr,normal,+97°,Clear sky,"['\nKoil Alwar Tirumanjanam, the ']"
86,28/03/2022,DEF,XYZ,ABC,"Ekadasi, Sravanam, Srinivasa Mangapuram Sri KVS Pushpayagam, Nagulapuram Sri VNS Surya Puja, Float Ends",+99°,Clear sky,"['', '\n??????: ????? ?????????? ????????????? 71,176 ???? ???????. ???????? ?????????? 34,688 ???? ???????. ????? ????? ??.4.46 ??????.']"
87,29/03/2022,"54,396","29,334",Rs.4.37 Cr,Annamacharya Vardhanthi,+99°,Few clouds,"['\n???\u200c? ???\u200c?\u200c?? ?????? ???\u200c????? ?????????', '\n???????????? ???????? ?????? \n\n???? ?????? ?????? ??????\n\n-??????']"
88,30/03/2022,"61,224","33,930",Rs.4.02 Cr,"Masasivaratri, Tirupati Sri Kodanda Rama Temple Brahmotsavam Begins",+99°,Clear sky,"['\n??????? ???? ???????? ???? ?????? ???????? ????. ', '\nThis generation gets cut on its entitlement or lack of work ethic or wants everything w/o paying the price.  Not here at Shen!6:00 am lineman agilities!']"
89,31/03/2022,"54,273","28,089",Rs.4.08 Cr,normal,+100°,Clear sky,[]
90,01/04/2022,"56,958","26,029",Rs.3.35 Cr,normal,+97°,Clear sky,"['', '', '\n??????: ?????? ?????????? ?????? ?????? ???????? ???????? ??????? ????? ?????. ????? ?????? ?????????? ??.128????? 61????? ?????. ?????????? ????????????? 19????? 72??? 656???? ???????. ???????? ?????????? ?????? ????? 9????? 48??? 587????. ']"
91,02/04/2022,"62,925","33,893",Rs.4.27 Cr,normal,+97°,Clear sky,['\n???????? ????????????? ?????????? ??????? ??????? ???? ???????????? ?????????? ??????? ?????????.']
92,03/04/2022,"71,034","32,291",Rs.3.38 Cr,normal,+97°,Clear sky,[]
93,04/04/2022,"66,112","35,727",Rs.4.64 Cr,normal,+97°,Partly cloudy,['\n@m3tomlins\n explores Performance-Driven Development at ']
94,05/04/2022,DEF,XYZ,ABC,normal,+95°,Clear sky,[]
